action_type,new_id,old_id,new_date,old_date,new_open,old_open,new_high,old_high,new_low,old_low,new_close,old_close,new_volume,old_volume,new_inserted_at,old_inserted_at
UPDATE,4,4,03/09/2024,03/09/2024,228.55,228.55,229,229,221.17,221.17,222.77,222.77,50190574,50190574,04/09/2024 12:31,04/09/2024 10:44
UPDATE,5,5,30/08/2024,30/08/2024,230.19,230.19,230.4,230.4,227.48,227.48,229,229,52990770,52990770,04/09/2024 12:31,04/09/2024 10:44
UPDATE,6,6,29/08/2024,29/08/2024,230.1,230.1,232.92,232.92,228.88,228.88,229.79,229.79,51906297,51906297,04/09/2024 12:31,04/09/2024 10:44
UPDATE,7,7,28/08/2024,28/08/2024,227.92,227.92,229.86,229.86,225.68,225.68,226.49,226.49,38052167,38052167,04/09/2024 12:31,04/09/2024 10:44
UPDATE,8,8,27/08/2024,27/08/2024,225.995,225.995,228.85,228.85,224.89,224.89,228.03,228.03,35934559,35934559,04/09/2024 12:31,04/09/2024 10:44
UPDATE,9,9,26/08/2024,26/08/2024,226.76,226.76,227.28,227.28,223.8905,223.8905,227.18,227.18,30602208,30602208,04/09/2024 12:31,04/09/2024 10:44
UPDATE,10,10,23/08/2024,23/08/2024,225.6589,225.6589,228.22,228.22,224.33,224.33,226.84,226.84,38677250,38677250,04/09/2024 12:31,04/09/2024 10:44
UPDATE,11,11,22/08/2024,22/08/2024,227.79,227.79,228.34,228.34,223.9,223.9,224.53,224.53,43695321,43695321,04/09/2024 12:31,04/09/2024 10:44
UPDATE,12,12,21/08/2024,21/08/2024,226.52,226.52,227.98,227.98,225.05,225.05,226.4,226.4,34765480,34765480,04/09/2024 12:31,04/09/2024 10:44
UPDATE,13,13,20/08/2024,20/08/2024,225.77,225.77,227.17,227.17,225.45,225.45,226.51,226.51,30299033,30299033,04/09/2024 12:31,04/09/2024 10:44
UPDATE,14,14,19/08/2024,19/08/2024,225.72,225.72,225.99,225.99,223.04,223.04,225.89,225.89,40687813,40687813,04/09/2024 12:31,04/09/2024 10:44
UPDATE,15,15,16/08/2024,16/08/2024,223.92,223.92,226.8271,226.8271,223.6501,223.6501,226.05,226.05,44340240,44340240,04/09/2024 12:31,04/09/2024 10:44
UPDATE,16,16,15/08/2024,15/08/2024,224.6,224.6,225.35,225.35,222.76,222.76,224.72,224.72,46414013,46414013,04/09/2024 12:31,04/09/2024 10:44
